fecha,descripcion,tipo,monto,saldo,id_movimiento
2025-06-13,TRANSFERENCIA DE SERVICIOS INFORMATICOS NEXO SPA RUT 76.678.901-3,ABONO,2411000,49572300,MOV-0015
2025-06-13,TRANSF C D S S SPA,ABONO,2411800,51984100,MOV-0024
2025-06-13,PAGO REMUNERACIONES NOMINA,CARGO,-3280000,48704100,MOV-0041
2025-06-14,PAGO CONSOLIDADO SUPERMERCADOS EL PARRON S.A. RUT 96.345.678-6,ABONO,911400,49615500,MOV-0027
2025-06-14,ABONO CUOTA 1 PANADERIA DON LUCHO EIRL RUT 78.345.612-5,ABONO,1160987,50776487,MOV-0033
2025-06-14,COMISION MANTENCION CUENTA CORRIENTE,CARGO,-9900,50766587,MOV-0039
2025-06-17,ABONO CUOTA 2 PANADERIA DON LUCHO EIRL RUT 78.345.612-5,ABONO,2263613,53030200,MOV-0034
2025-06-18,TRANSFERENCIA DE PANADERIA DON LUCHO EIRL RUT 78.345.612-5,ABONO,1748000,54778200,MOV-0011
2025-06-18,TRANSFERENCIA DE SERVICIOS INFORMATICOS NEXO SPA RUT 76.678.901-3,ABONO,475500,55253700,MOV-0037
2025-06-19,TRANSFERENCIA DE SERVICIOS INFORMATICOS NEXO SPA RUT 76.678.901-3,ABONO,3619300,58873000,MOV-0006
2025-06-19,IMPUESTO LEY TIMBRES Y ESTAMPILLAS,CARGO,-12450,58860550,MOV-0040
2025-06-20,TRANSFERENCIA DE CLINICA DENTAL SONRISA SPA RUT 77.012.345-3,ABONO,302600,59163150,MOV-0010
2025-06-20,PAGO CONSOLIDADO IMPORTADORA PACIFICO SUR SPA RUT 77.456.789-5,ABONO,2464600,61627750,MOV-0028
2025-06-21,TRANSFERENCIA DE COMERCIAL LOS ALERCES SPA RUT 76.123.456-0,ABONO,1013900,62641650,MOV-0001
2025-06-21,TRANSF PANADERIA DON LUCHO,ABONO,3140400,65782050,MOV-0025
2025-06-22,TRANSFERENCIA DE CONSTRUCTORA VALLE VERDE LTDA RUT 78.567.890-7,ABONO,809300,66591350,MOV-0005
2025-06-23,TRANSFERENCIA DE LOGISTICA EXPRESS BIOBIO SPA RUT 76.456.123-6,ABONO,3599200,70190550,MOV-0012
2025-06-23,TRANSFERENCIA DE SERVICIOS INFORMATICOS NEXO SPA RUT 76.678.901-3,ABONO,475500,70666050,MOV-0038
2025-06-25,TRANSFERENCIA DE TRANSPORTES CORDILLERA LIMITADA,ABONO,3931400,74597450,MOV-0019
2025-06-28,TRANSF FERRETERIA INDUSTR,ABONO,2032800,76630250,MOV-0023
